method,label,table_label,category,seed,trace_count,sample_count,mean_reward,bitrate,rebuf,smooth
bba,BBA,BBA rule-based algorithm,Traditional,100003,100,4800,0.7641513827696078,1183.3020833333333,0.04718011380208658,0.39737500000000003
context,Context pre-alignment,Context pre-alignment enhanced model,This work,100001,100,4800,0.8901503645748229,1034.4479166666667,0.05970214798403856,0.07130208333333334
context,Context pre-alignment,Context pre-alignment enhanced model,This work,100002,100,4800,0.9075555835406506,1002.8645833333334,0.048858905293176644,0.06930208333333333
context,Context pre-alignment,Context pre-alignment enhanced model,This work,100003,100,4800,0.9175255512838296,1039.3125,0.05279743008034031,0.07905208333333334
context,Context pre-alignment,Context pre-alignment enhanced model,This work,100004,100,4800,0.6777051101875412,1027.3854166666667,0.10212669719044476,0.08983333333333335
context,Context pre-alignment,Context pre-alignment enhanced model,This work,100005,100,4800,0.8806074299300034,975.1458333333334,0.04984031624133762,0.06375
genet,Genet,Genet reinforcement learning baseline,RL baseline,100001,100,4800,0.9000777272045121,1110.5520833333333,0.07166394040847948,0.08625
genet,Genet,Genet reinforcement learning baseline,RL baseline,100002,100,4800,0.8540236881830399,1104.59375,0.07957353262751633,0.091375
genet,Genet,Genet reinforcement learning baseline,RL baseline,100003,100,4800,0.8478713796045128,1100.4375,0.08118767266235531,0.08630208333333333
genet,Genet,Genet reinforcement learning baseline,RL baseline,100004,100,4800,0.8549677390676734,1111.5208333333333,0.08219043964506584,0.08612500000000001
genet,Genet,Genet reinforcement learning baseline,RL baseline,100005,100,4800,0.8365687849936141,1097.03125,0.08148429062123244,0.09268749999999999
hmix,Original multi-scale,Original multi-scale history mixer,This work,100001,100,4800,0.8205538117126334,1072.5416666666667,0.08155310721137825,0.08358333333333333
hmix,Original multi-scale,Original multi-scale history mixer,This work,100002,100,4800,0.8630979361866398,999.1041666666666,0.0506636990220454,0.1013125
hmix,Original multi-scale,Original multi-scale history mixer,This work,100003,100,4800,0.9212348756022771,1050.5208333333333,0.05599346572487992,0.07288541666666667
hmix,Original multi-scale,Original multi-scale history mixer,This work,100004,100,4800,0.9190992230489838,1009.5520833333334,0.05113336722684108,0.05490624999999999
hmix,Original multi-scale,Original multi-scale history mixer,This work,100005,100,4800,0.8234995274595727,1101.4791666666667,0.07854948007908101,0.12255208333333334
lightweight,Lightweight multi-scale,Lightweight multi-scale history enhanced model,This work,100001,100,4800,0.9087432046151412,1022.7083333333334,0.0520719954554777,0.07416666666666667
lightweight,Lightweight multi-scale,Lightweight multi-scale history enhanced model,This work,100002,100,4800,0.9148041578832036,1080.34375,0.06213805745354494,0.08258333333333334
lightweight,Lightweight multi-scale,Lightweight multi-scale history enhanced model,This work,100003,100,4800,0.9509915727476661,1053.6666666666667,0.04985216356483496,0.07330208333333332
lightweight,Lightweight multi-scale,Lightweight multi-scale history enhanced model,This work,100004,100,4800,0.8864591810191934,1027.4791666666667,0.06196952020843092,0.05819791666666667
lightweight,Lightweight multi-scale,Lightweight multi-scale history enhanced model,This work,100005,100,4800,0.8225878717958206,1100.9791666666667,0.0787280063203424,0.12217708333333334
mpc,MPC,MPC predictive control algorithm,Traditional,100003,100,4800,0.8484549686275231,1212.9479166666667,0.09532319260382098,0.13745833333333335
semantic,Semantic reprogramming,Semantic reprogramming baseline,This work,100001,100,4800,0.7922644807660052,909.5729166666666,0.053905813386240266,0.06719791666666666
semantic,Semantic reprogramming,Semantic reprogramming baseline,This work,100002,100,4800,0.8552249872537336,1038.9583333333333,0.06777139572672847,0.0753125
semantic,Semantic reprogramming,Semantic reprogramming baseline,This work,100003,100,4800,0.9167459368844767,1081.0416666666667,0.06347641204143331,0.075625
semantic,Semantic reprogramming,Semantic reprogramming baseline,This work,100004,100,4800,0.7558537847136382,1073.71875,0.09658412111134326,0.08347916666666667
semantic,Semantic reprogramming,Semantic reprogramming baseline,This work,100005,100,4800,0.7141460204904756,1048.7083333333333,0.1009725170342533,0.08043750000000001
udr,UDR,UDR reinforcement learning baseline,RL baseline,100001,100,4800,0.7471339816346595,1095.6041666666667,0.08424076231634321,0.16697916666666668
udr,UDR,UDR reinforcement learning baseline,RL baseline,100002,100,4800,0.7374793593918749,1101.6770833333333,0.08764564238131842,0.16786458333333334
udr,UDR,UDR reinforcement learning baseline,RL baseline,100003,100,4800,0.7049531648278318,1094.65625,0.09286720800394452,0.17023958333333333
udr,UDR,UDR reinforcement learning baseline,RL baseline,100004,100,4800,0.7660432468711672,1099.2395833333333,0.0809256680037664,0.16635416666666666
udr,UDR,UDR reinforcement learning baseline,RL baseline,100005,100,4800,0.7987173015368052,1093.4270833333333,0.07116219625335463,0.17053125
