experiment,method,seed,trace,trace_key,mean_reward
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_032_test_fcc_trace_805712_http---www.facebook.com_60_0,032_test_fcc_trace_805712_http---www.facebook.com_60_0,1.123404255319149
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_033_test_fcc_trace_216810_http---www.facebook.com_480_0,033_test_fcc_trace_216810_http---www.facebook.com_480_0,1.1042553191489364
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_034_trace_797466_http---www.amazon.com_320,034_trace_797466_http---www.amazon.com_320,0.5776595744680851
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_035_trace_7289_http---www.yahoo.com_320,035_trace_7289_http---www.yahoo.com_320,0.7595744680851066
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_036_trace_216826_http---www.amazon.com_960,036_trace_216826_http---www.amazon.com_960,0.7314091788919911
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_037_test_fcc_trace_215364_http---www.ebay.com_840_0,037_test_fcc_trace_215364_http---www.ebay.com_840_0,0.7787234042553194
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_038_trace_216826_http---www.amazon.com_640,038_trace_216826_http---www.amazon.com_640,0.74015020635513
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_039_trace_866_http---www.amazon.com_1280,039_trace_866_http---www.amazon.com_1280,0.8340425531914896
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_040_trace_799448_http---www.facebook.com_1280,040_trace_799448_http---www.facebook.com_1280,0.9776595744680855
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_041_test_fcc_trace_5554_http---www.amazon.com_1200_0,041_test_fcc_trace_5554_http---www.amazon.com_1200_0,0.847872340425532
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_042_trace_14679_http---www.facebook.com_0,042_trace_14679_http---www.facebook.com_0,0.43404255319148943
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_043_trace_8299_http---www.amazon.com_640,043_trace_8299_http---www.amazon.com_640,1.5124409240962022
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_044_trace_8747_http---www.amazon.com_320,044_trace_8747_http---www.amazon.com_320,1.922340425531914
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_045_test_fcc_trace_27175_http---www.amazon.com_240_0,045_test_fcc_trace_27175_http---www.amazon.com_240_0,0.5585106382978723
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_046_trace_7190_http---www.yahoo.com_1280,046_trace_7190_http---www.yahoo.com_1280,0.8404255319148937
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_047_trace_8299_http---www.amazon.com_0,047_trace_8299_http---www.amazon.com_0,0.7109269573888216
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_048_trace_806172_http---www.amazon.com_1280,048_trace_806172_http---www.amazon.com_1280,0.21822983685828864
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_049_trace_665208_http---www.yahoo.com_0,049_trace_665208_http---www.yahoo.com_0,2.661702127659574
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_050_trace_207336_http---www.amazon.com_1280,050_trace_207336_http---www.amazon.com_1280,0.7523501343407948
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_051_test_fcc_trace_805712_http---www.facebook.com_1500_0,051_test_fcc_trace_805712_http---www.facebook.com_1500_0,1.0989361702127662
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_052_test_fcc_trace_14731_http---www.facebook.com_420_0,052_test_fcc_trace_14731_http---www.facebook.com_420_0,0.3861702127659576
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_053_trace_8299_http---www.amazon.com_960,053_trace_8299_http---www.amazon.com_960,-1.2789589376221084
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_054_test_fcc_trace_805712_http---www.facebook.com_360_0,054_test_fcc_trace_805712_http---www.facebook.com_360_0,1.293617021276596
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_055_trace_806172_http---www.amazon.com_960,055_trace_806172_http---www.amazon.com_960,1.4882978723404257
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_056_test_fcc_trace_27175_http---www.amazon.com_600_0,056_test_fcc_trace_27175_http---www.amazon.com_600_0,0.5489361702127659
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_057_test_fcc_trace_14731_http---www.facebook.com_1320_0,057_test_fcc_trace_14731_http---www.facebook.com_1320_0,0.3861702127659576
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_058_trace_797700_http---www.yahoo.com_960,058_trace_797700_http---www.yahoo.com_960,0.5106382978723404
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_059_trace_941752_http---www.facebook.com_0,059_trace_941752_http---www.facebook.com_0,0.47234042553191485
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_060_test_fcc_trace_215364_http---www.ebay.com_1140_0,060_test_fcc_trace_215364_http---www.ebay.com_1140_0,0.7021276595744681
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_061_trace_806172_http---www.amazon.com_0,061_trace_806172_http---www.amazon.com_0,1.6255319148936165
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_062_trace_797700_http---www.yahoo.com_320,062_trace_797700_http---www.yahoo.com_320,0.39574468085106385
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_063_trace_799296_http---www.amazon.com_960,063_trace_799296_http---www.amazon.com_960,2.020212765957446
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_064_trace_10730_http---www.facebook.com_1280,064_trace_10730_http---www.facebook.com_1280,0.39574468085106385
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_065_trace_799448_http---www.facebook.com_320,065_trace_799448_http---www.facebook.com_320,0.8106382978723404
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_066_test_fcc_trace_805712_http---www.facebook.com_1140_0,066_test_fcc_trace_805712_http---www.facebook.com_1140_0,1.2872340425531916
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_067_test_fcc_trace_27175_http---www.amazon.com_1320_0,067_test_fcc_trace_27175_http---www.amazon.com_1320_0,0.5680851063829787
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_068_trace_901648_http---www.amazon.com_640,068_trace_901648_http---www.amazon.com_640,0.2082450349048878
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_069_trace_939618_http---www.amazon.com_960,069_trace_939618_http---www.amazon.com_960,1.0340425531914896
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_070_test_fcc_trace_14731_http---www.facebook.com_720_0,070_test_fcc_trace_14731_http---www.facebook.com_720_0,0.3765957446808512
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_071_trace_7256_http---www.facebook.com_960,071_trace_7256_http---www.facebook.com_960,0.4819148936170212
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_072_test_fcc_trace_216810_http---www.facebook.com_1440_0,072_test_fcc_trace_216810_http---www.facebook.com_1440_0,1.6031914893617014
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_073_test_fcc_trace_5554_http---www.amazon.com_720_0,073_test_fcc_trace_5554_http---www.amazon.com_720_0,0.6829787234042553
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_074_test_fcc_trace_27175_http---www.amazon.com_1140_0,074_test_fcc_trace_27175_http---www.amazon.com_1140_0,1.0214110584900535
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_075_trace_7451_http---www.yahoo.com_640,075_trace_7451_http---www.yahoo.com_640,0.8212765957446806
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_076_trace_805936_http---www.youtube.com_640,076_trace_805936_http---www.youtube.com_640,0.5968085106382979
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_077_trace_665208_http---www.yahoo.com_640,077_trace_665208_http---www.yahoo.com_640,2.286170212765957
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_078_trace_8747_http---www.amazon.com_960,078_trace_8747_http---www.amazon.com_960,0.6638297872340426
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_079_test_fcc_trace_14731_http---www.facebook.com_1380_0,079_test_fcc_trace_14731_http---www.facebook.com_1380_0,0.3861702127659575
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_080_test_fcc_trace_215364_http---www.ebay.com_420_0,080_test_fcc_trace_215364_http---www.ebay.com_420_0,0.748936170212766
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_081_test_fcc_trace_14731_http---www.facebook.com_360_0,081_test_fcc_trace_14731_http---www.facebook.com_360_0,0.3765957446808511
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_082_trace_26689_http---www.amazon.com_640,082_trace_26689_http---www.amazon.com_640,0.9478723404255321
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_083_test_fcc_trace_216810_http---www.facebook.com_300_0,083_test_fcc_trace_216810_http---www.facebook.com_300_0,1.6776595744680844
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_084_trace_849842_http---www.facebook.com_1280,084_trace_849842_http---www.facebook.com_1280,0.4053191489361702
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_085_test_fcc_trace_27175_http---www.amazon.com_840_0,085_test_fcc_trace_27175_http---www.amazon.com_840_0,2.5382978723404253
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_086_trace_941778_http---www.youtube.com_320,086_trace_941778_http---www.youtube.com_320,0.4053191489361703
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_087_test_fcc_trace_27175_http---www.amazon.com_780_0,087_test_fcc_trace_27175_http---www.amazon.com_780_0,2.7265957446808513
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_088_trace_10322_http---edition.cnn.com_960,088_trace_10322_http---edition.cnn.com_960,0.6404255319148937
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_089_test_fcc_trace_215364_http---www.ebay.com_60_0,089_test_fcc_trace_215364_http---www.ebay.com_60_0,0.8074468085106385
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_090_trace_663494_http---www.facebook.com_640,090_trace_663494_http---www.facebook.com_640,1.3819148936170214
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_091_trace_11332_http---www.facebook.com_960,091_trace_11332_http---www.facebook.com_960,0.42446808510638295
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_092_test_fcc_trace_216810_http---www.facebook.com_780_0,092_test_fcc_trace_216810_http---www.facebook.com_780_0,1.193617021276596
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_093_test_fcc_trace_27175_http---www.amazon.com_720_0,093_test_fcc_trace_27175_http---www.amazon.com_720_0,2.0521276595744675
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_094_test_fcc_trace_14731_http---www.facebook.com_1020_0,094_test_fcc_trace_14731_http---www.facebook.com_1020_0,0.32872340425531915
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_095_trace_8996_http---www.facebook.com_320,095_trace_8996_http---www.facebook.com_320,0.4148936170212767
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_096_trace_925806_http---www.amazon.com_640,096_trace_925806_http---www.amazon.com_640,0.39574468085106385
