trace,bba,context,genet,hmix,lightweight,mpc,semantic,udr,reward_gain
result_sim_abr_fcc-test_027_test_fcc_trace_27175_http---www.amazon.com_660_0,0.7324915759373651,0.7181813586832323,0.37271288364356847,0.41446554674313996,-0.3121820747492122,0.6700292071967452,0.08885260146632175,0.05429072222842137,-0.6848949583927807
result_sim_abr_fcc-test_085_test_fcc_trace_27175_http---www.amazon.com_840_0,1.9265957446808506,2.051489361702127,2.572978723404255,1.9093617021276585,1.9197872340425526,2.543110366117238,2.2078723404255314,2.4391489361702123,-0.6531914893617026
result_sim_abr_fcc-test_049_trace_665208_http---www.yahoo.com_0,2.0563829787234034,1.9763829787234037,2.64531914893617,2.0178723404255314,2.054893617021276,2.7265957446808504,2.116382978723404,2.462716309568281,-0.5904255319148937
result_sim_abr_fcc-test_087_test_fcc_trace_27175_http---www.amazon.com_780_0,1.9457446808510637,2.2140425531914887,2.649361702127659,2.126808510638297,2.1072340425531904,2.480167195457366,2.098936170212766,2.6168920483240132,-0.5421276595744686
result_sim_abr_fcc-test_093_test_fcc_trace_27175_http---www.amazon.com_720_0,1.115344585487945,1.6357446808510638,2.1176595744680844,1.621489361702127,1.6480851063829784,2.141489361702127,1.5925531914893614,1.9155969972564968,-0.46957446808510594
result_sim_abr_fcc-test_077_trace_665208_http---www.yahoo.com_640,1.8138297872340419,1.8970212765957442,2.237021276595744,1.847234042553191,1.8565957446808503,2.2765957446808502,2.061489361702127,1.8748830212604055,-0.3804255319148937
result_sim_abr_fcc-test_033_test_fcc_trace_216810_http---www.facebook.com_480_0,0.9202127659574466,1.1224255357391968,1.102340425531915,0.5793686271388714,0.7424647736703832,0.5683479392118735,0.6123656311503223,0.5536028173549353,-0.3598756518615317
result_sim_abr_fcc-test_063_trace_799296_http---www.amazon.com_960,1.428723404255319,1.641702127659574,1.9261702127659563,1.6842553191489358,1.7034042553191484,2.040425531914893,1.7374468085106376,1.6391631941650284,-0.22276595744680794
result_sim_abr_fcc-test_070_test_fcc_trace_14731_http---www.facebook.com_720_0,0.12765957446808504,0.3131367725489125,0.38617021276595753,0.3409439668804507,0.1707712933526595,0.3505996018414831,0.020921731989548043,0.16577840487744183,-0.21539891941329803
result_sim_abr_fcc-test_081_test_fcc_trace_14731_http---www.facebook.com_360_0,0.05592707591027851,0.29688724422274204,0.3785106382978724,0.28716546412237354,0.1634543471770014,0.36933398147205543,0.13744200604854856,0.3287234042553192,-0.215056291120871
result_sim_abr_fcc-test_098_trace_939562_http---www.google.com-mobile-_320,2.0021276595744673,1.7219148936170208,2.0855319148936164,1.8074468085106374,1.8765957446808503,2.342553191489361,1.8512765957446802,1.9497020791545698,-0.20893617021276611
result_sim_abr_fcc-test_066_test_fcc_trace_805712_http---www.facebook.com_1140_0,0.9574468085106386,1.0248936170212768,1.2042553191489365,1.1706382978723406,1.0648936170212768,1.1682471189794814,1.0623873880296117,1.0480851063829788,-0.13936170212765964
result_sim_abr_fcc-test_044_trace_8747_http---www.amazon.com_320,1.5159574468085104,1.67595744680851,1.8708510638297864,1.6514893617021271,1.7355319148936164,1.9223157463651175,1.6268085106382972,1.4999930186374923,-0.13531914893617003
result_sim_abr_fcc-test_061_trace_806172_http---www.amazon.com_0,1.2776595744680852,1.3865957446808512,1.6355319148936165,1.4491489361702128,1.510851063829787,1.5120861981241984,1.4121276595744678,1.4015858407100548,-0.12468085106382953
result_sim_abr_fcc-test_026_trace_665192_http---www.facebook.com_640,1.4797872340425529,1.4165957446808513,1.7744680851063825,1.549574468085106,1.6665957446808506,1.891489361702127,1.5146808510638294,1.3343658939743077,-0.10787234042553195
result_sim_abr_fcc-test_021_test_fcc_trace_14731_http---www.facebook.com_300_0,0.1563829787234042,0.3765957446808511,0.3765957446808511,0.29984615727160635,0.2701952024518179,0.3861702127659575,-0.122134204808832,0.26866128388068633,-0.10640054222903322
result_sim_abr_fcc-test_041_test_fcc_trace_5554_http---www.amazon.com_1200_0,0.7117021276595744,0.795001584977173,0.8414893617021277,0.6817949041114707,0.7528248823174715,0.5813667979035847,0.25895590203003405,0.7731914893617021,-0.08866447938465627
result_sim_abr_fcc-test_031_trace_849842_http---www.facebook.com_640,0.14680851063829783,0.3899387919181535,0.3995744680851064,0.40340425531914903,0.3124425508916044,0.43404255319148943,0.3976595744680852,0.3517021276595745,-0.087131917193502
result_sim_abr_fcc-test_023_trace_942092_http---www.facebook.com_0,1.5670212765957439,1.207021276595745,1.5210638297872339,1.4040425531914895,1.437872340425532,1.5829995242632537,1.2953191489361704,1.407872340425532,-0.08319148936170184
result_sim_abr_fcc-test_091_trace_11332_http---www.facebook.com_960,0.13723404255319144,0.3002282956880034,0.39957446808510644,0.39000000000000007,0.31993289112906437,0.3941180555453381,0.003780398112188177,0.3421276595744681,-0.07964157695604207
result_sim_abr_fcc-test_022_trace_7451_http---www.yahoo.com_960,0.6734042553191489,0.860425531914894,0.891489361702128,0.7782978723404256,0.8151063829787235,0.6328653527491657,0.8142553191489365,0.8029787234042555,-0.0763829787234045
result_sim_abr_fcc-test_011_test_fcc_trace_5554_http---www.amazon.com_360_0,0.2042553191489362,0.4665957446808511,0.47042553191489367,0.42317748445115555,0.3955385682675833,0.4015468179425988,0.43021276595744684,0.3623410357188501,-0.07488696364731035
result_sim_abr_fcc-test_028_trace_663494_http---www.facebook.com_960,1.3595744680851065,1.4425531914893615,1.7953191489361693,1.6312765957446804,1.7231914893617013,1.8606382978723395,1.7023404255319143,1.5548936170212762,-0.07212765957446798
result_sim_abr_fcc-test_004_trace_901648_http---www.amazon.com_960,2.0031914893617015,1.8799999999999997,2.0051063829787226,1.8542553191489355,1.9361702127659566,1.4442048367912894,1.789361702127659,1.947234042553191,-0.06893617021276599
result_sim_abr_fcc-test_092_test_fcc_trace_216810_http---www.facebook.com_780_0,0.7734042553191489,1.2176595744680854,1.1655319148936172,1.147625455712556,1.1083130015834295,1.1414893617021278,0.827161154791165,1.0185106382978724,-0.05721891331018769
result_sim_abr_fcc-test_032_test_fcc_trace_805712_http---www.facebook.com_60_0,0.9797872340425534,0.9591489361702132,1.1406382978723406,1.074612549932752,1.0858891456774329,1.2329787234042557,1.0865957446808512,0.9827659574468086,-0.054749152194907724
result_sim_abr_fcc-test_015_test_fcc_trace_805712_http---www.facebook.com_720_0,0.9053191489361703,1.0259574468085109,1.227872340425532,1.135957446808511,1.1778723404255322,1.1268530149173253,1.1531914893617023,1.097872340425532,-0.04999999999999982
result_sim_abr_fcc-test_030_test_fcc_trace_216810_http---www.facebook.com_120_0,1.1510638297872344,1.3759574468085107,1.5136170212765958,1.4,1.4717021276595745,1.1265994637188297,1.3629787234042552,1.15307419419586,-0.041914893617021276
result_sim_abr_fcc-test_019_trace_7540_http---www.yahoo.com_0,0.6542553191489362,0.8257446808510641,0.7974468085106384,0.7806382978723405,0.7557446808510639,0.7403748448077777,0.7825531914893618,0.7229787234042553,-0.041702127659574484
result_sim_abr_fcc-test_080_test_fcc_trace_215364_http---www.ebay.com_420_0,0.5489361702127659,0.6994419111608814,0.6555346883165359,0.7334042553191489,0.613865534714446,0.6557638055859797,0.23785345869692262,0.6768085106382978,-0.04166915360208989
result_sim_abr_fcc-test_055_trace_806172_http---www.amazon.com_960,1.3287234042553193,1.3419148936170213,1.5287234042553188,1.4648936170212765,1.4887234042553188,1.531914893617021,1.4823404255319148,1.3422526833345825,-0.040000000000000036
result_sim_abr_fcc-test_012_trace_939562_http---www.google.com-mobile-_0,1.768085106382978,1.8244680851063826,2.0061702127659564,1.86127659574468,1.9674468085106376,2.1542553191489353,1.9261702127659568,1.9317021276595738,-0.03872340425531884
result_sim_abr_fcc-test_054_test_fcc_trace_805712_http---www.facebook.com_360_0,0.9617021276595746,1.0100000000000002,1.150425531914894,1.0374468085106385,1.1127659574468087,1.2167413103579339,1.0531914893617025,1.0459574468085109,-0.03765957446808521
result_sim_abr_fcc-test_069_trace_939618_http---www.amazon.com_960,0.8127659574468087,0.8834042553191491,1.0459574468085109,0.9690566533638476,1.0108510638297874,1.1234042553191492,0.9174468085106385,0.9429787234042555,-0.03510638297872348
result_sim_abr_fcc-test_001_test_fcc_trace_215364_http---www.ebay.com_600_0,0.5106382978723405,0.7785106382978724,0.7914893617021278,0.732340425531915,0.7565957446808511,0.7296111421494746,0.7646808510638299,0.6763829787234042,-0.03489361702127669
result_sim_abr_fcc-test_067_test_fcc_trace_27175_http---www.amazon.com_1320_0,0.35142275080670404,0.5642553191489362,0.5527659574468086,0.5451255572011704,0.5214352908887026,0.6351063829787233,0.5163829787234042,0.4980851063829787,-0.03133066655810601
result_sim_abr_fcc-test_037_test_fcc_trace_215364_http---www.ebay.com_840_0,0.5808785891693224,0.8072340425531916,0.7768085106382979,0.7270212765957447,0.7493617021276596,0.8978723404255321,0.7076595744680851,0.6967790068833747,-0.0274468085106383
result_sim_abr_fcc-test_065_trace_799448_http---www.facebook.com_320,0.5968085106382979,0.7985106382978724,0.794468085106383,0.7765957446808511,0.767872340425532,0.7648936170212765,0.7925531914893618,0.734468085106383,-0.02659574468085102
result_sim_abr_fcc-test_082_trace_26689_http---www.amazon.com_640,1.1648936170212767,0.9008510638297876,0.9414893617021279,0.8217021276595746,0.9153191489361705,1.2574468085106385,0.9287234042553194,0.8693617021276596,-0.026170212765957435
result_sim_abr_fcc-test_029_test_fcc_trace_5554_http---www.amazon.com_1080_0,0.5591242981352429,0.6389361702127659,0.6717021276595745,0.6014893617021275,0.6482978723404256,0.7585106382978724,0.5719148936170212,0.5874468085106384,-0.023404255319148914
result_sim_abr_fcc-test_051_test_fcc_trace_805712_http---www.facebook.com_1500_0,0.9840425531914897,1.0600000000000003,1.1129787234042556,1.074996574497095,1.0897872340425532,1.240425531914894,1.0746808510638302,1.0223404255319148,-0.023191489361702455
result_sim_abr_fcc-test_018_trace_806172_http---www.amazon.com_320,0.5680851063829788,0.7136170212765957,0.7385106382978723,0.7057446808510639,0.7161702127659575,0.75,0.7059574468085106,0.6170212765957447,-0.022340425531914843
