method,label,table_label,category,seed_count,mean_reward_mean,mean_reward_std,bitrate_mean,bitrate_std,rebuf_mean,rebuf_std,smooth_mean,smooth_std
bba,BBA,BBA rule-based algorithm,Traditional,1,0.7641513827696078,0.0,1183.3020833333333,0.0,0.04718011380208658,0.0,0.39737500000000003,0.0
mpc,MPC,MPC predictive control algorithm,Traditional,1,0.8484549686275231,0.0,1212.9479166666667,0.0,0.09532319260382098,0.0,0.13745833333333335,0.0
udr,UDR,UDR reinforcement learning baseline,RL baseline,5,0.7508654108524678,0.03471748270330154,1096.9208333333331,3.430260685145572,0.08336829539174542,0.00812775370798493,0.16839375,0.001898484295833854
genet,Genet,Genet reinforcement learning baseline,RL baseline,5,0.8587018638106704,0.024263983867282193,1104.8270833333331,6.27853123167217,0.07921997519292989,0.004331318542742249,0.08854791666666666,0.003214158672533483
semantic,Semantic reprogramming,Semantic reprogramming baseline,This work,5,0.8068470420216659,0.08035022628083899,1030.4,69.72932795830864,0.07654205185999972,0.0209676346640696,0.07641041666666668,0.006182173633386027
context,Context pre-alignment,Context pre-alignment enhanced model,This work,5,0.8547088079033696,0.09999484550644887,1015.83125,26.715565315402326,0.06266509935786758,0.022463602437344785,0.07464791666666666,0.010106071018995084
hmix,Original multi-scale,Original multi-scale history mixer,This work,5,0.8694970748020214,0.04921722127654433,1046.6395833333333,42.803213713069134,0.06357862385284513,0.01521859806167565,0.08704791666666666,0.026027344603333908
lightweight,Lightweight multi-scale,Lightweight multi-scale history enhanced model,This work,5,0.8967171976122049,0.04748119265308709,1057.0354166666668,33.680857351167916,0.06095194860052618,0.011407117623916569,0.08208541666666666,0.024073096287011982
