实验配置,公共 trace 数,Genet 平均奖励,最终模型平均奖励,平均增益,95% CI 下界,95% CI 上界,P(增益>0),逐 trace 胜率,中位数增益
FCC-test + video1,100,0.8587018638106705,0.896717197612205,0.03801533380153459,-0.027758501723341315,0.11060524297154704,0.8576,0.39,-0.009574468085106425
FCC-valid + video1,100,0.7354784647175786,0.7409841817634946,0.0055057170459158885,-0.0810095521285688,0.10522052614191414,0.52165,0.41,-0.013297872340425398
FCC-test + video2,100,0.6659395607755033,0.6217954478588592,-0.04414411291664425,-0.11033665280188162,0.021900315216817342,0.0944,0.49,-0.0019501850411462185
