video,common,win_rate,mean_gain,median_gain,best_gain,worst_gain
video1,100,0.39,0.03801533380153455,-0.009574468085106397,1.8277219687371784,-0.6848949583927807
video2,100,0.49,-0.044144112916644274,-0.0019501850411461907,1.40690866323038,-1.602008752335495
