video,method,seed,trace_count,sample_count,mean_reward,bitrate,rebuf,smooth
video1,Genet,100001,100,4800,0.9000777272045123,1110.5520833333333,0.07166394040847948,0.08625
video1,Genet,100002,100,4800,0.8540236881830399,1104.59375,0.07957353262751633,0.091375
video1,Genet,100003,100,4800,0.8478713796045129,1100.4375,0.08118767266235531,0.08630208333333333
video1,Genet,100004,100,4800,0.8549677390676734,1111.5208333333333,0.08219043964506584,0.08612500000000001
video1,Genet,100005,100,4800,0.8365687849936141,1097.03125,0.08148429062123244,0.09268749999999999
video1,Final,100001,100,4800,0.8205538117126334,1072.5416666666667,0.08155310721137825,0.08358333333333333
video1,Final,100001,100,4800,0.9087432046151414,1022.7083333333334,0.0520719954554777,0.07416666666666667
video1,Final,100002,100,4800,0.8630979361866397,999.1041666666666,0.0506636990220454,0.1013125
video1,Final,100002,100,4800,0.9148041578832036,1080.34375,0.06213805745354494,0.08258333333333334
video1,Final,100003,100,4800,0.921234875602277,1050.5208333333333,0.05599346572487992,0.07288541666666667
video1,Final,100003,100,4800,0.9509915727476661,1053.6666666666667,0.04985216356483496,0.07330208333333332
video1,Final,100004,100,4800,0.8864591810191936,1027.4791666666667,0.06196952020843092,0.05819791666666667
video1,Final,100005,100,4800,0.8225878717958206,1100.9791666666667,0.0787280063203424,0.12217708333333334
video2,Genet,100001,100,4800,0.6617159670311399,896.25,0.07527575408936026,0.06657291666666666
video2,Genet,100002,100,4800,0.7077716684787237,899.21875,0.06524369029073405,0.06758333333333333
video2,Genet,100003,100,4800,0.6347034323467964,908.5625,0.08341572080527179,0.07033333333333334
video2,Genet,100004,100,4800,0.6736270416655881,905.0520833333334,0.07514096480729113,0.06429166666666668
video2,Genet,100005,100,4800,0.6518796943552693,894.7708333333334,0.07597490532853617,0.07171875
video2,Final,100001,100,4800,0.771286180269958,915.21875,0.05289784700493943,0.07447916666666667
video2,Final,100002,100,4800,0.6191510064230336,960.6041666666666,0.0977081821348108,0.07614583333333333
video2,Final,100003,100,4800,0.7174320172262229,939.1770833333334,0.07128518064377448,0.07210416666666668
video2,Final,100004,100,4800,0.6237439451456894,929.9375,0.09266763891792695,0.06265625
video2,Final,100005,100,4800,0.37736409022939205,983.59375,0.15049153998898301,0.10891666666666666
