trace,trace_key,genet_reward,final_reward,reward_gain,genet_bitrate,final_bitrate,genet_rebuf,final_rebuf,genet_smooth,final_smooth
result_sim_abr_fcc-test_074_test_fcc_trace_27175_http---www.amazon.com_1140_0,074_test_fcc_trace_27175_http---www.amazon.com_1140_0,0.06049102829050377,-4.506495694849284,-4.566986723139788,2023.9583333333333,2188.5416666666665,0.42832973532553353,1.4893683786761633,0.15729166666666666,0.23125000000000004
result_sim_abr_fcc-test_024_test_fcc_trace_216810_http---www.facebook.com_1140_0,024_test_fcc_trace_216810_http---www.facebook.com_1140_0,1.1223404255319145,-2.3414517648361097,-3.463792190368024,1211.4583333333333,1482.2916666666667,0.012326293617139215,0.8337809106098578,0.10625,0.23645833333333333
result_sim_abr_fcc-test_033_test_fcc_trace_216810_http---www.facebook.com_480_0,033_test_fcc_trace_216810_http---www.facebook.com_480_0,0.9595744680851068,-1.9450592837132539,-2.904633751798361,978.125,1273.9583333333333,0.03290529564652372,0.7321193767246387,0.03229166666666667,0.165625
result_sim_abr_fcc-test_020_trace_28838_http---www.amazon.com_1280,020_trace_28838_http---www.amazon.com_1280,-2.0545172162432386,-4.0133609204178855,-1.958843704174647,1398.9583333333333,1482.2916666666667,0.7849784142163042,1.2482325522793296,0.16666666666666666,0.17604166666666665
result_sim_abr_fcc-test_048_trace_806172_http---www.amazon.com_1280,048_trace_806172_http---www.amazon.com_1280,0.8585106382978726,-0.8954556893258444,-1.753966327623717,930.2083333333334,1043.75,0.19982859029226321,0.6181251862143305,0.08333333333333333,0.11562500000000002
result_sim_abr_fcc-test_032_test_fcc_trace_805712_http---www.facebook.com_60_0,032_test_fcc_trace_805712_http---www.facebook.com_60_0,0.94468085106383,-0.6414967106166227,-1.5861775616804528,963.5416666666666,1191.6666666666667,0.03794378419166195,0.4330520467836254,0.03229166666666667,0.11458333333333333
result_sim_abr_fcc-test_076_trace_805936_http---www.youtube.com_640,076_trace_805936_http---www.youtube.com_640,0.4436170212765958,-1.0086590307863574,-1.4522760520629532,506.25,609.375,0.05631946558171035,0.41536488441387515,0.065625,0.046875
result_sim_abr_fcc-test_027_test_fcc_trace_27175_http---www.amazon.com_660_0,027_test_fcc_trace_27175_http---www.amazon.com_660_0,0.4932497364016705,-0.916176988422612,-1.4094267248242824,890.625,1171.875,0.06661099865046231,0.4512672780435887,0.15208333333333335,0.15937500000000002
result_sim_abr_fcc-test_081_test_fcc_trace_14731_http---www.facebook.com_360_0,081_test_fcc_trace_14731_http---www.facebook.com_360_0,0.30957446808510647,-0.9318296014902354,-1.2414040695753419,328.125,393.75,0.052784423179160024,0.3463696522006767,0.01875,0.0375
result_sim_abr_fcc-test_047_trace_8299_http---www.amazon.com_0,047_trace_8299_http---www.amazon.com_0,-0.0900835997941776,-1.3176377354306623,-1.2275541356364847,2135.4166666666665,2222.9166666666665,0.4740759889909493,0.7286546923577845,0.2125,0.4072916666666666
result_sim_abr_fcc-test_042_trace_14679_http---www.facebook.com_0,042_trace_14679_http---www.facebook.com_0,0.347872340425532,-0.832114335251278,-1.17998667567681,384.375,450.0,0.04904311908795187,0.32428233302598514,0.0375,0.075
result_sim_abr_fcc-test_052_test_fcc_trace_14731_http---www.facebook.com_420_0,052_test_fcc_trace_14731_http---www.facebook.com_420_0,0.3095744680851064,-0.7383814103840903,-1.0479558784691967,328.125,393.75,0.05325790802764486,0.3049726671751848,0.01875,0.028125
result_sim_abr_fcc-test_051_test_fcc_trace_805712_http---www.facebook.com_1500_0,051_test_fcc_trace_805712_http---www.facebook.com_1500_0,0.8755319148936171,-0.16471219881629826,-1.0402441137099154,956.25,1158.3333333333333,0.018084048320314166,0.2966280083220875,0.09270833333333334,0.11562500000000002
result_sim_abr_fcc-test_036_trace_216826_http---www.amazon.com_960,036_trace_216826_http---www.amazon.com_960,0.1681743557950809,-0.8304164271511677,-0.9985907829462486,1272.9166666666667,1381.25,0.2147171449143168,0.4900745421937436,0.21354166666666666,0.11562499999999999
result_sim_abr_fcc-test_014_trace_849842_http---www.facebook.com_960,014_trace_849842_http---www.facebook.com_960,0.3765957446808511,-0.5806885934760745,-0.9572843381569256,393.75,440.625,0.04960318172527083,0.2610487432241832,0.01875,0.09375
result_sim_abr_fcc-test_068_trace_901648_http---www.amazon.com_640,068_trace_901648_http---www.amazon.com_640,1.0770656971361317,0.17360329279345482,-0.9034624043426769,1214.5833333333333,1320.8333333333333,0.014967662647637768,0.24104679541946827,0.13854166666666667,0.1572916666666667
result_sim_abr_fcc-test_092_test_fcc_trace_216810_http---www.facebook.com_780_0,092_test_fcc_trace_216810_http---www.facebook.com_780_0,0.8925531914893613,0.0038214795180140843,-0.8887317119713473,963.5416666666666,1345.8333333333333,0.027225544922913347,0.3143882894125129,0.08333333333333333,0.10104166666666665
result_sim_abr_fcc-test_095_trace_8996_http---www.facebook.com_320,095_trace_8996_http---www.facebook.com_320,0.3382978723404256,-0.5350537527346806,-0.8733516250751061,356.25,431.25,0.05029410872236805,0.26224917838578854,0.01875,0.0375
result_sim_abr_fcc-test_043_trace_8299_http---www.amazon.com_640,043_trace_8299_http---www.amazon.com_640,1.7127659574468086,0.8672855521981495,-0.8454804052486591,1871.875,2246.875,0.01249558745621243,0.2762435479537269,0.1885416666666667,0.25729166666666664
result_sim_abr_fcc-test_008_test_fcc_trace_27175_http---www.amazon.com_480_0,008_test_fcc_trace_27175_http---www.amazon.com_480_0,0.8324715301897772,0.04281884616976886,-0.7896526840200083,1027.0833333333333,1052.0833333333333,0.074636733075637,0.22780376868096833,0.053125000000000006,0.19270833333333334
result_sim_abr_fcc-test_080_test_fcc_trace_215364_http---www.ebay.com_420_0,080_test_fcc_trace_215364_http---www.ebay.com_420_0,0.625531914893617,-0.017066545352751736,-0.6425984602463688,646.875,721.875,0.02952101608187134,0.18457008406432932,0.028125,0.065625
result_sim_abr_fcc-test_075_trace_7451_http---www.yahoo.com_640,075_trace_7451_http---www.yahoo.com_640,0.8127659574468086,0.208143284166896,-0.6046226732799126,866.6666666666666,879.1666666666666,0.02822301755711677,0.15694038986407358,0.06458333333333334,0.11562499999999999
result_sim_abr_fcc-test_070_test_fcc_trace_14731_http---www.facebook.com_720_0,070_test_fcc_trace_14731_http---www.facebook.com_720_0,0.331456130779759,-0.04874693261613743,-0.38020306339589643,346.875,393.75,0.05982756035387615,0.14640480831708902,0.009375,0.05625
result_sim_abr_fcc-test_049_trace_665208_http---www.yahoo.com_0,049_trace_665208_http---www.yahoo.com_0,2.202127659574468,1.826595744680851,-0.3755319148936169,2313.5416666666665,2252.0833333333335,0.012166457932093942,0.012166457932093942,0.15104166666666666,0.45729166666666665
result_sim_abr_fcc-test_021_test_fcc_trace_14731_http---www.facebook.com_300_0,021_test_fcc_trace_14731_http---www.facebook.com_300_0,0.29993375375729364,-0.06163988919667567,-0.3615736429539693,337.5,375.0,0.06087073303413573,0.15192674669128958,0.0375,0.0375
result_sim_abr_fcc-test_030_test_fcc_trace_216810_http---www.facebook.com_120_0,030_test_fcc_trace_216810_http---www.facebook.com_120_0,1.2904255319148938,0.9640111715458898,-0.32641436036900406,1322.9166666666667,1516.6666666666667,0.027819937440500476,0.13267204469507018,0.053125,0.11562499999999999
result_sim_abr_fcc-test_041_test_fcc_trace_5554_http---www.amazon.com_1200_0,041_test_fcc_trace_5554_http---www.amazon.com_1200_0,0.7308510638297873,0.40980131146839377,-0.3210497523613935,740.625,780.2083333333334,0.044920152946468735,0.11875415663341393,0.01875,0.05520833333333334
result_sim_abr_fcc-test_082_trace_26689_http---www.amazon.com_640,082_trace_26689_http---www.amazon.com_640,0.7021276595744681,0.45539205383824294,-0.24673560573622516,721.875,923.9583333333334,0.014017702627028514,0.0958809461813046,0.028125,0.11979166666666667
result_sim_abr_fcc-test_011_test_fcc_trace_5554_http---www.amazon.com_360_0,011_test_fcc_trace_5554_http---www.amazon.com_360_0,0.3574468085106383,0.1294737217726505,-0.2279730867379878,403.125,440.625,0.044951267056530214,0.101224208319541,0.046875,0.065625
result_sim_abr_fcc-test_096_trace_925806_http---www.amazon.com_640,096_trace_925806_http---www.amazon.com_640,0.3382978723404256,0.14094174984545146,-0.1973561224949741,365.625,440.625,0.04575903858658618,0.1081414889609262,0.028125,0.028125
result_sim_abr_fcc-test_085_test_fcc_trace_27175_http---www.amazon.com_840_0,085_test_fcc_trace_27175_http---www.amazon.com_840_0,2.113829787234042,1.9308510638297869,-0.18297872340425503,2231.25,2181.25,0.008875581046633678,0.008875581046633678,0.15520833333333334,0.284375
result_sim_abr_fcc-test_077_trace_665208_http---www.yahoo.com_640,077_trace_665208_http---www.yahoo.com_640,1.7999999999999994,1.656382978723404,-0.14361702127659548,1903.125,1966.6666666666667,0.011009707181273596,0.011009707181273596,0.134375,0.3385416666666667
result_sim_abr_fcc-test_054_test_fcc_trace_805712_http---www.facebook.com_360_0,054_test_fcc_trace_805712_http---www.facebook.com_360_0,0.967021276595745,0.8627659574468084,-0.1042553191489366,1040.625,1011.4583333333334,0.03223802112808904,0.03223802112808904,0.08750000000000001,0.16041666666666668
result_sim_abr_fcc-test_087_test_fcc_trace_27175_http---www.amazon.com_780_0,087_test_fcc_trace_27175_http---www.amazon.com_780_0,2.2297872340425533,2.1478723404255318,-0.08191489361702153,2291.6666666666665,2396.875,0.09129730109925444,0.09129730109925444,0.10208333333333335,0.28750000000000003
result_sim_abr_fcc-test_060_test_fcc_trace_215364_http---www.ebay.com_1140_0,060_test_fcc_trace_215364_http---www.ebay.com_1140_0,0.6904255319148935,0.6159574468085106,-0.07446808510638292,752.0833333333334,693.75,0.034263496906517504,0.034263496906517504,0.06979166666666667,0.08437499999999999
result_sim_abr_fcc-test_061_trace_806172_http---www.amazon.com_0,061_trace_806172_http---www.amazon.com_0,1.3829787234042554,1.320212765957447,-0.06276595744680846,1434.375,1446.875,0.016586212990808695,0.016586212990808695,0.07395833333333333,0.14791666666666667
