video,common_trace_count,win_rate,mean_gain,median_gain,best_gain,worst_gain
video1,100,0.37,0.027357212634651483,-0.009937272995638374,1.763440348718221,-0.7032978723404262
video2,100,0.49,-0.04414411291664425,-0.0019501850411462185,1.4069086632303796,-1.602008752335495
