video,bitrate_kbps,chunk_count,mean_size_mb,median_size_mb,p95_size_mb,max_size_mb,video2_vs_video1_mean_ratio
video1,300,49,0.14410351733772123,0.1461935043334961,0.17129116058349608,0.17347431182861328,
video1,750,49,0.35775838579450336,0.36080074310302734,0.4158599853515625,0.42942333221435547,
video1,1200,49,0.570861952645438,0.5717058181762695,0.6571771621704101,0.6766643524169922,
video1,1850,49,0.8786396688344528,0.8874673843383789,0.9880104064941406,1.0267248153686523,
video1,2850,49,1.3532009708638093,1.3654794692993164,1.5137441635131836,1.648787498474121,
video1,4300,49,2.040505720644581,2.0551795959472656,2.194157600402832,2.2846107482910156,
video2,300,49,0.17442973779172313,0.1734476089477539,0.20736560821533195,0.22283458709716797,1.210447468696613
video2,750,49,0.42828439206493146,0.4307575225830078,0.5011772155761718,0.5186929702758789,1.1971330626221528
video2,1200,49,0.6844166541586116,0.6859226226806641,0.7857162475585936,0.8306713104248047,1.1989179713010272
video2,1850,49,1.0511152306381537,1.0542278289794922,1.1895959854125977,1.2306547164916992,1.1962984007226716
video2,2850,49,1.622076384875239,1.6426353454589844,1.8202020645141601,1.967270851135254,1.1986958476979177
video2,4300,49,2.450168804246552,2.4650068283081055,2.644352340698242,2.7425336837768555,1.2007654668434655
